ORF	Name	Length	Number	Peak	Start	End
YKL211C	TRP3	484	1	123	118	123
YKL212W	SAC1	623	1	199	190	203
YKL214C	YRA2	203	1	76	73	78
YKL216W	URA1	314	2	168	166	173
YKL216W	URA1	314	2	232	228	235
YKR001C	VPS1	704	1	604	601	605
YKR013W	PRY2	329	2	69	64	69
YKR013W	PRY2	329	2	174	172	176
YKR018C		725	1	721	717	723
YKR024C	DBP7	742	1	531	530	535
YKR025W	RPC37	282	1	226	225	231
YKR026C	GCN3	305	1	251	248	254
YKR028W	SAP190	1033	1	256	254	259
YKR038C	KAE1	386	1	205	203	212
YKR042W	UTH1	365	1	88	69	103
YKR043C	SHB17	271	1	154	149	156
YKR045C		183	1	172	170	175
YKR048C	NAP1	417	1	321	315	323
YKR062W	TFA2	328	1	185	183	189
YKR065C	PAM17	197	1	120	116	120
YKR066C	CCP1	361	4	72	67	76
YKR066C	CCP1	361	4	124	120	125
YKR066C	CCP1	361	4	166	162	168
YKR066C	CCP1	361	4	347	345	349
YKR072C	SIS2	562	2	242	239	247
YKR072C	SIS2	562	2	274	271	275
YKR080W	MTD1	320	1	259	257	264
YKR084C	HBS1	611	1	516	515	525
YKR093W	PTR2	601	2	99	95	101
YKR093W	PTR2	601	2	177	174	180
YKR094C	RPL40B	128	1	106	102	107
YLL011W	SOF1	489	1	253	252	258
YLL013C	PUF3	879	1	396	390	399
YLL018C	DPS1	557	3	210	208	216
YLL018C	DPS1	557	3	332	329	336
YLL018C	DPS1	557	3	452	445	465
YLL021W	SPA2	1466	2	218	214	218
YLL021W	SPA2	1466	2	225	223	229
YLL022C	HIF1	385	1	92	91	95
YLL024C	SSA2	639	2	65	62	66
YLL024C	SSA2	639	2	618	613	626
YLL026W	HSP104	908	3	441	436	442
YLL026W	HSP104	908	3	507	502	507
YLL026W	HSP104	908	3	668	664	669
YLL040C	VPS13	3144	2	1365	1364	1368
YLL040C	VPS13	3144	2	2557	2555	2559
YLL045C	RPL8B	256	3	113	111	119
YLL045C	RPL8B	256	3	197	195	200
YLL045C	RPL8B	256	3	234	234	238
YLL048C	YBT1	1661	1	975	973	977
YLL050C	COF1	143	1	88	87	96
YLL058W		575	1	260	260	264
YLR002C	NOC3	663	1	240	239	244
YLR017W	MEU1	337	1	213	211	218
YLR023C	IZH3	543	1	147	144	148
YLR027C	AAT2	418	5	84	81	85
YLR027C	AAT2	418	5	186	184	193
YLR027C	AAT2	418	5	249	248	254
YLR027C	AAT2	418	5	281	279	287
YLR027C	AAT2	418	5	300	297	305
YLR028C	ADE16	591	3	214	211	216
YLR028C	ADE16	591	3	250	248	252
YLR028C	ADE16	591	3	540	540	548
YLR029C	RPL15A	204	1	113	111	115
YLR033W	RSC58	502	1	259	255	262
YLR040C		224	1	132	125	134
YLR043C	TRX1	103	1	90	89	95
YLR044C	PDC1	563	6	148	141	150
YLR044C	PDC1	563	6	268	265	272
YLR044C	PDC1	563	6	361	348	364
YLR044C	PDC1	563	6	400	399	405
YLR044C	PDC1	563	6	425	423	428
YLR044C	PDC1	563	6	512	510	516
YLR048W	RPS0B	252	2	129	126	131
YLR048W	RPS0B	252	2	156	148	163
YLR056W	ERG3	365	1	81	81	88
YLR058C	SHM2	469	4	226	221	227
YLR058C	SHM2	469	4	232	230	238
YLR058C	SHM2	469	4	244	241	254
YLR058C	SHM2	469	4	400	397	401
YLR060W	FRS1	595	3	161	159	168
YLR060W	FRS1	595	3	223	221	225
YLR060W	FRS1	595	3	549	547	553
YLR072W	LAM6	693	1	418	415	421
YLR075W	RPL10	221	2	91	89	94
YLR075W	RPL10	221	2	192	192	200
YLR079W	SIC1	284	1	80	77	81
YLR094C	GIS3	502	1	311	308	312
YLR106C	MDN1	4910	2	480	477	483
YLR106C	MDN1	4910	2	559	558	564
YLR109W	AHP1	176	3	59	56	64
YLR109W	AHP1	176	3	122	119	124
YLR109W	AHP1	176	3	165	162	166
YLR110C	CCW12	133	2	77	72	77
YLR110C	CCW12	133	2	103	97	104
YLR113W	HOG1	435	1	305	300	309
YLR116W	MSL5	476	1	395	394	400
YLR120C	YPS1	569	1	97	93	98
YLR129W	DIP2	943	1	378	374	382
YLR133W	CKI1	582	1	203	202	209
YLR150W	STM1	273	2	42	36	44
YLR150W	STM1	273	2	255	251	256
YLR153C	ACS2	683	6	106	105	109
YLR153C	ACS2	683	6	266	263	267
YLR153C	ACS2	683	6	348	346	350
YLR153C	ACS2	683	6	450	446	453
YLR153C	ACS2	683	6	561	558	563
YLR153C	ACS2	683	6	622	620	624
YLR163C	MAS1	462	1	305	305	309
YLR167W	RPS31	152	1	84	83	90
YLR168C	UPS2	230	1	115	112	116
YLR172C	DPH5	300	4	176	175	179
YLR172C	DPH5	300	4	186	181	190
YLR172C	DPH5	300	4	249	248	252
YLR172C	DPH5	300	4	266	263	267
YLR175W	CBF5	483	1	138	138	145
YLR179C		201	2	59	54	60
YLR179C		201	2	84	79	84
YLR180W	SAM1	382	2	108	106	110
YLR180W	SAM1	382	2	286	275	296
YLR183C	TOS4	489	1	321	317	323
YLR185W	RPL37A	88	1	38	34	40
YLR187W	SKG3	1026	1	398	394	398
YLR192C	HCR1	265	4	163	159	163
YLR192C	HCR1	265	4	217	214	219
YLR192C	HCR1	265	4	231	226	231
YLR192C	HCR1	265	4	254	250	257
YLR194C		254	1	141	139	143
YLR197W	NOP56	504	2	214	211	216
YLR197W	NOP56	504	2	320	319	323
YLR201C	COQ9	260	1	86	85	92
YLR203C	MSS51	436	2	80	78	82
YLR203C	MSS51	436	2	144	143	147
YLR206W	ENT2	613	1	213	210	214
YLR208W	SEC13	297	1	119	113	121
YLR209C	PNP1	311	1	59	58	64
YLR214W	FRE1	686	1	150	148	152
YLR216C	CPR6	371	1	108	106	110
YLR223C	IFH1	1085	1	940	940	944
YLR229C	CDC42	191	1	90	86	91
YLR231C	BNA5	453	1	218	215	219
YLR244C	MAP1	387	2	152	150	155
YLR244C	MAP1	387	2	311	303	312
YLR248W	RCK2	610	1	392	376	392
YLR249W	YEF3	1044	7	103	100	105
YLR249W	YEF3	1044	7	188	185	189
YLR249W	YEF3	1044	7	267	264	269
YLR249W	YEF3	1044	7	308	302	308
YLR249W	YEF3	1044	7	386	385	390
YLR249W	YEF3	1044	7	730	728	732
YLR249W	YEF3	1044	7	985	982	988
YLR256W	HAP1	1502	2	201	198	203
YLR256W	HAP1	1502	2	295	295	299
YLR259C	HSP60	572	4	68	65	69
YLR259C	HSP60	572	4	132	127	134
YLR259C	HSP60	572	4	350	344	351
YLR259C	HSP60	572	4	552	549	554
YLR268W	SEC22	214	1	105	101	106
YLR270W	DCS1	350	1	111	109	113
YLR285W	NNT1	261	1	97	92	99
YLR286C	CTS1	562	2	75	72	77
YLR286C	CTS1	562	2	190	186	191
YLR287C-A	RPS30A	63	1	60	57	63
YLR291C	GCD7	381	1	287	286	290
YLR293C	GSP1	219	1	188	182	190
YLR295C	ATP14	124	1	63	62	66
YLR300W	EXG1	448	2	250	248	252
YLR300W	EXG1	448	2	355	354	358
YLR301W	HRI1	244	1	93	88	93
YLR304C	ACO1	778	4	355	352	357
YLR304C	ACO1	778	4	444	443	447
YLR304C	ACO1	778	4	546	544	548
YLR304C	ACO1	778	4	688	685	691
YLR314C	CDC3	520	2	271	266	271
YLR314C	CDC3	520	2	508	506	512
YLR319C	BUD6	788	1	283	276	283
YLR325C	RPL38	78	1	70	68	74
YLR335W	NUP2	720	4	414	411	415
YLR335W	NUP2	720	4	518	517	521
YLR335W	NUP2	720	4	539	538	545
YLR335W	NUP2	720	4	692	688	692
YLR337C	VRP1	817	2	315	315	320
YLR337C	VRP1	817	2	430	428	433
YLR340W	RPP0	312	3	106	103	109
YLR340W	RPP0	312	3	234	232	236
YLR340W	RPP0	312	3	254	253	257
YLR342W	FKS1	1876	6	302	299	303
YLR342W	FKS1	1876	6	336	334	345
YLR342W	FKS1	1876	6	1131	1131	1135
YLR342W	FKS1	1876	6	1323	1319	1325
YLR342W	FKS1	1876	6	1631	1627	1631
YLR342W	FKS1	1876	6	1779	1777	1785
YLR344W	RPL26A	127	1	101	101	105
YLR347C	KAP95	861	2	521	519	523
YLR347C	KAP95	861	2	771	770	774
YLR348C	DIC1	298	1	101	98	102
YLR350W	ORM2	216	1	94	94	99
YLR354C	TAL1	335	2	186	181	189
YLR354C	TAL1	335	2	276	272	280
YLR355C	ILV5	395	4	89	87	91
YLR355C	ILV5	395	4	153	150	155
YLR355C	ILV5	395	4	171	170	176
YLR355C	ILV5	395	4	287	282	289
YLR356W	ATG33	197	1	75	71	77
YLR359W	ADE13	482	2	254	251	255
YLR359W	ADE13	482	2	287	285	290
YLR367W	RPS22B	130	1	95	91	96
YLR373C	VID22	901	1	193	192	197
YLR378C	SEC61	480	3	146	143	148
YLR378C	SEC61	480	3	386	384	393
YLR378C	SEC61	480	3	456	454	458
YLR380W	CSR1	408	3	224	217	226
YLR380W	CSR1	408	3	243	237	244
YLR380W	CSR1	408	3	355	352	356
YLR384C	IKI3	1349	2	433	431	435
YLR384C	IKI3	1349	2	668	663	671
YLR390W-A	CCW14	238	3	62	59	63
YLR390W-A	CCW14	238	3	68	65	73
YLR390W-A	CCW14	238	3	97	95	108
YLR399C	BDF1	686	1	440	436	440
YLR406C	RPL31B	113	1	89	87	93
YLR410W	VIP1	1146	1	303	300	307
YLR413W		675	1	400	393	400
YLR420W	URA4	364	1	273	270	277
YLR429W	CRN1	651	1	376	372	379
YLR432W	IMD3	523	4	73	71	76
YLR432W	IMD3	523	4	106	101	106
YLR432W	IMD3	523	4	246	242	247
YLR432W	IMD3	523	4	508	501	511
YLR437C	DIF1	133	1	92	89	97
YLR438W	CAR2	424	4	217	217	223
YLR438W	CAR2	424	4	315	311	318
YLR438W	CAR2	424	4	364	362	367
YLR438W	CAR2	424	4	390	389	396
YLR439W	MRPL4	319	2	62	56	65
YLR439W	MRPL4	319	2	85	84	89
YLR441C	RPS1A	255	2	138	137	142
YLR441C	RPS1A	255	2	204	198	205
YLR447C	VMA6	345	1	161	159	163
YLR448W	RPL6B	176	1	90	83	91
YLR450W	HMG2	1045	1	979	978	983
YLR452C	SST2	698	1	103	99	103
YML001W	YPT7	208	1	92	92	96
YML004C	GLO1	326	1	279	277	281
YML008C	ERG6	383	2	200	197	201
YML008C	ERG6	383	2	378	370	380
YML010W	SPT5	1063	1	589	585	589
YML012W	ERV25	211	1	91	87	95
YML014W	TRM9	279	1	182	180	186
YML021C	UNG1	359	1	179	178	185
YML024W	RPS17A	136	1	58	52	59
YML025C	YML6	286	1	92	90	94
YML026C	RPS18B	146	1	80	78	85
YML028W	TSA1	196	2	76	71	79
YML028W	TSA1	196	2	177	175	183
YML035C	AMD1	810	2	444	442	446
YML035C	AMD1	810	2	602	598	602
YML048W	GSF2	403	3	101	101	106
YML048W	GSF2	403	3	134	131	137
YML048W	GSF2	403	3	204	203	208
YML055W	SPC2	178	1	86	84	88
YML056C	IMD4	524	1	247	240	248
YML057W	CMP2	604	1	379	379	384
YML058W	SML1	104	1	59	56	61
YML063W	RPS1B	255	3	132	128	132
YML063W	RPS1B	255	3	140	139	145
YML063W	RPS1B	255	3	208	207	211
YML069W	POB3	552	1	315	310	317
YML070W	DAK1	584	1	234	230	235
YML072C	TCB3	1545	1	1539	1536	1540
YML074C	FPR3	411	1	190	186	192
YML078W	CPR3	182	1	123	119	123
YML085C	TUB1	447	1	361	356	366
YML086C	ALO1	526	1	276	272	279
YML092C	PRE8	250	2	156	155	161
YML092C	PRE8	250	2	223	219	224
YML097C	VPS9	451	1	77	74	78
YML100W	TSL1	1098	2	169	165	174
YML100W	TSL1	1098	2	1027	1025	1029
YML105C	SEC65	273	1	236	234	238
YML106W	URA5	226	2	136	133	142
YML106W	URA5	226	2	221	221	226
YML123C	PHO84	587	2	156	152	159
YML123C	PHO84	587	2	288	285	291
YML124C	TUB3	445	1	382	379	386
YML125C	PGA3	312	1	90	88	94
YML126C	ERG13	491	3	103	100	107
YML126C	ERG13	491	3	321	319	327
YML126C	ERG13	491	3	408	406	410
YMR001C	CDC5	705	1	661	657	663
YMR005W	TAF4	388	1	328	323	330
YMR008C	PLB1	664	1	99	98	102
YMR012W	CLU1	1277	6	82	79	87
YMR012W	CLU1	1277	6	210	208	212
YMR012W	CLU1	1277	6	282	279	284
YMR012W	CLU1	1277	6	957	955	959
YMR012W	CLU1	1277	6	1017	1015	1022
YMR012W	CLU1	1277	6	1107	1100	1108
YMR027W		470	1	454	454	458
YMR038C	CCS1	249	1	201	199	204
YMR043W	MCM1	286	1	261	259	267
YMR049C	ERB1	807	2	537	533	537
YMR049C	ERB1	807	2	681	677	683
YMR058W	FET3	636	1	100	95	101
YMR062C	ARG7	441	1	238	235	243
YMR067C	UBX4	416	1	185	184	190
YMR072W	ABF2	183	2	120	115	123
YMR072W	ABF2	183	2	182	178	183
YMR079W	SEC14	304	2	165	165	170
YMR079W	SEC14	304	2	218	218	222
YMR080C	NAM7	971	1	672	669	674
YMR083W	ADH3	375	2	57	54	59
YMR083W	ADH3	375	2	97	97	101
YMR089C	YTA12	825	1	162	154	167
YMR092C	AIP1	615	1	491	487	493
YMR093W	UTP15	513	1	306	300	306
YMR099C		297	2	100	98	103
YMR099C		297	2	276	271	278
YMR108W	ILV2	687	4	85	81	86
YMR108W	ILV2	687	4	307	305	309
YMR108W	ILV2	687	4	532	523	537
YMR108W	ILV2	687	4	636	635	640
YMR109W	MYO5	1219	5	1003	999	1006
YMR109W	MYO5	1219	5	1012	1012	1017
YMR109W	MYO5	1219	5	1041	1040	1045
YMR109W	MYO5	1219	5	1056	1052	1060
YMR109W	MYO5	1219	5	1078	1073	1078
YMR116C	ASC1	319	4	73	73	78
YMR116C	ASC1	319	4	126	123	129
YMR116C	ASC1	319	4	203	201	209
YMR116C	ASC1	319	4	257	255	259
YMR120C	ADE17	592	4	246	244	248
YMR120C	ADE17	592	4	257	250	260
YMR120C	ADE17	592	4	296	294	298
YMR120C	ADE17	592	4	547	543	548
YMR125W	STO1	861	1	99	97	102
YMR128W	ECM16	1267	1	577	574	580
YMR131C	RRB1	511	1	361	357	363
YMR136W	GAT2	560	1	358	349	358
YMR142C	RPL13B	199	2	63	59	64
YMR142C	RPL13B	199	2	144	139	148
YMR143W	RPS16A	143	1	134	131	138
YMR145C	NDE1	560	4	263	260	267
YMR145C	NDE1	560	4	426	424	428
YMR145C	NDE1	560	4	433	430	434
YMR145C	NDE1	560	4	441	437	441
YMR146C	TIF34	347	3	93	92	99
YMR146C	TIF34	347	3	245	243	247
YMR146C	TIF34	347	3	340	336	341
YMR147W		223	1	136	130	136
YMR152W	YIM1	365	2	144	142	147
YMR152W	YIM1	365	2	310	309	316
YMR165C	PAH1	862	1	110	108	115
YMR184W	ADD37	198	1	71	68	74
YMR186W	HSC82	705	3	417	414	419
YMR186W	HSC82	705	3	546	545	549
YMR186W	HSC82	705	3	627	627	631
YMR189W	GCV2	1034	2	821	819	823
YMR189W	GCV2	1034	2	919	918	923
YMR194W	RPL36A	100	1	99	94	100
YMR195W	ICY1	127	1	113	111	115
YMR205C	PFK2	959	6	154	149	158
YMR205C	PFK2	959	6	259	256	260
YMR205C	PFK2	959	6	298	294	298
YMR205C	PFK2	959	6	458	458	464
YMR205C	PFK2	959	6	514	511	517
YMR205C	PFK2	959	6	595	594	601
YMR208W	ERG12	443	1	128	125	131
YMR210W		449	1	141	137	141
YMR215W	GAS3	524	1	100	97	103
YMR217W	GUA1	525	1	157	154	163
YMR226C		267	1	262	259	265
YMR229C	RRP5	1729	3	1159	1159	1164
YMR229C	RRP5	1729	3	1204	1203	1207
YMR229C	RRP5	1729	3	1347	1347	1353
YMR230W	RPS10B	105	1	98	97	102
YMR235C	RNA1	407	1	153	149	153
YMR236W	TAF9	157	1	142	139	144
YMR237W	BCH1	724	2	333	327	334
YMR237W	BCH1	724	2	407	405	409
YMR241W	YHM2	314	1	224	223	229
YMR242C	RPL20A	172	1	157	149	163
YMR246W	FAA4	694	1	445	438	446
YMR262W		313	1	227	223	229
YMR276W	DSK2	373	1	236	236	241
YMR277W	FCP1	732	1	443	441	447
YMR295C		197	1	143	137	148
YMR296C	LCB1	558	3	445	438	448
YMR296C	LCB1	558	3	531	531	536
YMR296C	LCB1	558	3	552	551	556
YMR297W	PRC1	532	1	264	260	265
YMR298W	LIP1	150	1	112	109	114
YMR300C	ADE4	510	2	312	308	312
YMR300C	ADE4	510	2	405	397	408
YMR301C	ATM1	690	1	88	84	89
YMR302C	YME2	850	1	179	177	184
YMR305C	SCW10	389	2	114	108	120
YMR305C	SCW10	389	2	125	122	131
YMR307W	GAS1	559	2	68	65	70
YMR307W	GAS1	559	2	360	359	363
YMR308C	PSE1	1089	1	83	77	83
YMR310C		317	1	92	88	92
YMR315W		349	2	192	189	195
YMR315W		349	2	266	265	269
YMR318C	ADH6	360	3	173	171	175
YMR318C	ADH6	360	3	250	249	258
YMR318C	ADH6	360	3	331	329	333
YNL007C	SIS1	352	1	86	83	87
YNL010W		241	1	93	91	96
YNL016W	PUB1	453	1	155	153	159
YNL031C		136	1	91	88	92
YNL035C		389	1	106	104	108
YNL037C	IDH1	360	1	306	302	307
YNL045W	LAP2	671	2	197	196	200
YNL045W	LAP2	671	2	242	240	244
YNL049C	SFB2	876	2	238	235	239
YNL049C	SFB2	876	2	715	713	718
YNL055C	POR1	283	3	112	111	115
YNL055C	POR1	283	3	179	178	182
YNL055C	POR1	283	3	280	276	281
YNL058C		316	1	77	71	78
YNL061W	NOP2	618	1	436	433	438
YNL062C	GCD10	478	1	457	452	457
YNL064C	YDJ1	409	2	83	79	85
YNL064C	YDJ1	409	2	357	356	364
YNL066W	SUN4	420	2	69	64	70
YNL066W	SUN4	420	2	112	104	116
YNL067W	RPL9B	191	1	70	66	71
YNL069C	RPL16B	198	2	96	91	101
YNL069C	RPL16B	198	2	182	178	186
YNL070W	TOM7	60	1	57	55	59
YNL071W	LAT1	482	4	63	63	67
YNL071W	LAT1	482	4	181	178	182
YNL071W	LAT1	482	4	233	231	235
YNL071W	LAT1	482	4	421	418	423
YNL072W	RNH201	307	1	223	221	225
YNL074C	MLF3	452	1	178	173	186
YNL075W	IMP4	290	1	164	161	165
YNL079C	TPM1	199	1	110	109	113
YNL081C	SWS2	143	1	141	135	141
YNL085W	MKT1	830	3	364	362	366
YNL085W	MKT1	830	3	376	369	377
YNL085W	MKT1	830	3	637	635	643
YNL088W	TOP2	1428	1	185	182	186
YNL096C	RPS7B	190	2	90	83	91
YNL096C	RPS7B	190	2	122	117	124
YNL104C	LEU4	619	3	108	104	108
YNL104C	LEU4	619	3	196	191	199
YNL104C	LEU4	619	3	206	202	211
YNL108C		270	1	100	99	105
YNL112W	DBP2	546	1	488	486	491
YNL116W	DMA2	522	1	359	356	362
YNL118C	DCP2	970	1	394	393	400
YNL121C	TOM70	617	2	71	69	76
YNL121C	TOM70	617	2	298	294	298
YNL123W	NMA111	997	1	686	682	687
YNL131W	TOM22	152	1	116	111	116
YNL132W	KRE33	1056	1	508	507	512
YNL134C		376	1	136	132	137
YNL135C	FPR1	114	1	91	84	95
YNL138W	SRV2	526	4	266	265	269
YNL138W	SRV2	526	4	279	275	287
YNL138W	SRV2	526	4	456	455	459
YNL138W	SRV2	526	4	464	464	468
YNL157W	IGO1	168	1	156	154	159
YNL161W	CBK1	756	1	611	610	614
YNL162W	RPL42A	106	1	84	79	84
YNL163C	RIA1	1110	1	293	293	298
YNL166C	BNI5	448	1	105	101	105
YNL169C	PSD1	500	1	245	242	248
YNL173C	MDG1	366	1	366	361	366
YNL175C	NOP13	403	1	224	223	227
YNL178W	RPS3	240	4	99	93	101
YNL178W	RPS3	240	4	121	115	123
YNL178W	RPS3	240	4	191	189	195
YNL178W	RPS3	240	4	204	202	210
YNL189W	SRP1	542	2	186	183	189
YNL189W	SRP1	542	2	349	346	351
YNL190W		204	3	62	59	67
YNL190W		204	3	122	118	122
YNL190W		204	3	179	173	181
YNL197C	WHI3	661	4	347	346	350
YNL197C	WHI3	661	4	428	426	430
YNL197C	WHI3	661	4	529	522	531
YNL197C	WHI3	661	4	549	547	551
YNL207W	RIO2	425	1	177	177	182
YNL216W	RAP1	827	1	781	779	784
YNL220W	ADE12	433	3	150	147	151
YNL220W	ADE12	433	3	167	160	167
YNL220W	ADE12	433	3	259	258	263
YNL229C	URE2	354	1	346	341	347
YNL231C	PDR16	351	1	205	204	216
YNL239W	LAP3	454	2	125	118	125
YNL239W	LAP3	454	2	378	374	378
YNL241C	ZWF1	505	2	120	116	125
YNL241C	ZWF1	505	2	395	393	398
YNL243W	SLA2	968	1	295	290	297
YNL246W	VPS75	264	1	153	147	154
YNL247W		767	3	187	183	189
YNL247W		767	3	236	233	238
YNL247W		767	3	259	254	261
YNL262W	POL2	2222	1	300	297	301
YNL278W	CAF120	1060	1	960	957	961
YNL281W	HCH1	153	1	90	90	94
YNL287W	SEC21	935	2	298	296	300
YNL287W	SEC21	935	2	729	727	731
YNL289W	PCL1	279	2	74	70	81
YNL289W	PCL1	279	2	96	92	102
YNL292W	PUS4	403	2	153	150	154
YNL292W	PUS4	403	2	206	204	208
YNL300W	TOS6	102	1	96	96	101
YNL301C	RPL18B	186	1	100	93	100
YNL302C	RPS19B	144	1	62	57	64
YNL307C	MCK1	375	1	105	102	106
YNL309W	STB1	420	1	278	275	279
YNL310C	ZIM17	174	1	169	167	175
YNL321W	VNX1	908	1	250	250	258
YNL322C	KRE1	313	3	95	93	99
YNL322C	KRE1	313	3	157	151	160
YNL322C	KRE1	313	3	190	186	193
YNL327W	EGT2	1041	1	79	74	83
YNR001C	CIT1	479	1	413	407	413
YNR013C	PHO91	894	2	185	184	194
YNR013C	PHO91	894	2	502	502	507
YNR015W	SMM1	384	1	119	117	123
YNR016C	ACC1	2233	6	98	93	100
YNR016C	ACC1	2233	6	284	283	288
YNR016C	ACC1	2233	6	300	297	308
YNR016C	ACC1	2233	6	1141	1138	1145
YNR016C	ACC1	2233	6	1214	1208	1216
YNR016C	ACC1	2233	6	1931	1927	1934
YNR018W	RCF2	224	2	126	124	130
YNR018W	RCF2	224	2	192	190	196
YNR021W		404	2	269	267	271
YNR021W		404	2	290	288	292
YNR026C	SEC12	471	2	320	314	321
YNR026C	SEC12	471	2	359	359	363
YNR029C		429	1	172	170	175
YNR035C	ARC35	342	2	103	98	104
YNR035C	ARC35	342	2	222	220	224
YNR043W	MVD1	396	3	97	93	98
YNR043W	MVD1	396	3	123	121	128
YNR043W	MVD1	396	3	157	154	158
YNR044W	AGA1	725	1	121	117	121
YNR046W	TRM112	135	1	82	73	87
YNR047W	FPK1	893	1	284	283	290
YNR049C	MSO1	210	1	101	99	103
YNR051C	BRE5	515	1	345	340	348
YNR067C	DSE4	1117	1	204	204	209
YOL004W	SIN3	1536	5	103	99	113
YOL004W	SIN3	1536	5	119	115	120
YOL004W	SIN3	1536	5	129	125	130
YOL004W	SIN3	1536	5	190	189	193
YOL004W	SIN3	1536	5	1386	1382	1386
YOL006C	TOP1	769	1	487	482	488
YOL007C	CSI2	341	1	111	111	115
YOL012C	HTZ1	134	1	92	89	94
YOL019W		551	3	475	474	480
YOL019W		551	3	498	492	498
YOL019W		551	3	541	538	543
YOL021C	DIS3	1001	1	73	72	80
YOL027C	MDM38	573	2	75	69	77
YOL027C	MDM38	573	2	165	159	168
YOL028C	YAP7	245	1	217	214	218
YOL030W	GAS5	484	2	118	115	120
YOL030W	GAS5	484	2	126	124	133
YOL038W	PRE6	254	1	184	181	185
YOL039W	RPP2A	106	2	66	66	70
YOL039W	RPP2A	106	2	73	73	82
YOL040C	RPS15	142	1	72	71	79
YOL041C	NOP12	459	1	275	272	276
YOL045W	PSK2	1101	1	107	105	112
YOL051W	GAL11	1081	3	91	89	94
YOL051W	GAL11	1081	3	251	248	252
YOL051W	GAL11	1081	3	401	398	402
YOL052C	SPE2	396	1	153	149	154
YOL057W		711	1	379	379	385
YOL058W	ARG1	420	1	200	198	202
YOL059W	GPD2	440	1	302	299	304
YOL060C	MAM3	706	1	326	325	329
YOL061W	PRS5	496	3	140	140	144
YOL061W	PRS5	496	3	302	300	306
YOL061W	PRS5	496	3	319	315	321
YOL071W	SDH5	162	1	127	124	128
YOL077C	BRX1	291	1	146	144	150
YOL086C	ADH1	348	4	126	123	127
YOL086C	ADH1	348	4	141	140	145
YOL086C	ADH1	348	4	149	148	156
YOL086C	ADH1	348	4	277	276	280
YOL088C	MPD2	277	1	118	113	118
YOL092W	YPQ1	308	2	109	104	113
YOL092W	YPQ1	308	2	204	198	204
YOL097C	WRS1	432	1	233	232	239
YOL109W	ZEO1	113	1	84	82	87
YOL111C	MDY2	212	1	168	163	172
YOL120C	RPL18A	186	1	100	93	100
YOL121C	RPS19A	144	1	62	57	63
YOL123W	HRP1	534	2	253	249	253
YOL123W	HRP1	534	2	441	438	442
YOL124C	TRM11	433	1	366	362	367
YOL126C	MDH2	377	1	206	203	209
YOL127W	RPL25	142	1	133	127	133
YOL135C	MED7	222	1	71	67	72
YOL139C	CDC33	213	3	102	99	103
YOL139C	CDC33	213	3	196	193	197
YOL139C	CDC33	213	3	210	208	212
YOL149W	DCP1	231	1	84	79	85
YOL152W	FRE7	620	1	86	80	88
YOR007C	SGT2	346	1	243	241	248
YOR016C	ERP4	207	1	74	72	76
YOR020C	HSP10	106	1	69	69	73
YOR021C	SFM1	213	1	122	121	125
YOR023C	AHC1	566	2	238	233	239
YOR023C	AHC1	566	2	252	250	254
YOR027W	STI1	589	3	122	118	124
YOR027W	STI1	589	3	474	469	476
YOR027W	STI1	589	3	523	520	529
YOR038C	HIR2	875	1	300	297	301
YOR042W	CUE5	411	1	375	373	381
YOR043W	WHI2	486	1	393	391	397
YOR046C	DBP5	482	1	217	215	219
YOR048C	RAT1	1006	2	161	160	165
YOR048C	RAT1	1006	2	170	168	175
YOR056C	NOB1	459	1	307	306	310
YOR063W	RPL3	387	4	81	80	84
YOR063W	RPL3	387	4	106	103	108
YOR063W	RPL3	387	4	160	153	162
YOR063W	RPL3	387	4	167	166	172
YOR065W	CYT1	309	1	158	157	161
YOR066W	MSA1	629	1	120	120	125
YOR070C	GYP1	637	1	345	345	351
YOR074C	CDC21	304	1	201	198	203
YOR081C	TGL5	749	1	111	109	113
YOR085W	OST3	350	1	88	88	92
YOR086C	TCB1	1186	1	314	307	314
YOR089C	VPS21	210	1	99	96	103
YOR091W	TMA46	345	1	160	155	162
YOR096W	RPS7A	190	1	117	115	124
YOR098C	NUP1	1076	1	781	774	781
YOR099W	KTR1	393	1	193	191	195
YOR108W	LEU9	604	1	195	191	199
YOR109W	INP53	1107	1	127	123	127
YOR112W	CEX1	761	1	87	83	90
YOR117W	RPT5	434	1	353	350	354
YOR122C	PFY1	126	1	112	108	114
YOR123C	LEO1	464	1	360	358	362
YOR124C	UBP2	1272	1	159	157	161
YOR128C	ADE2	571	1	229	222	230
YOR136W	IDH2	369	3	86	84	90
YOR136W	IDH2	369	3	131	128	134
YOR136W	IDH2	369	3	296	296	302
YOR142W	LSC1	329	1	100	98	106
YOR151C	RPB2	1224	3	232	228	235
YOR151C	RPB2	1224	3	307	306	311
YOR151C	RPB2	1224	3	1017	1016	1024
YOR153W	PDR5	1511	7	62	59	63
YOR153W	PDR5	1511	7	253	249	255
YOR153W	PDR5	1511	7	391	389	393
YOR153W	PDR5	1511	7	427	425	430
YOR153W	PDR5	1511	7	727	722	728
YOR153W	PDR5	1511	7	777	772	777
YOR153W	PDR5	1511	7	941	938	942
YOR157C	PUP1	261	1	143	138	146
YOR165W	SEY1	776	2	109	106	110
YOR165W	SEY1	776	2	122	121	127
YOR168W	GLN4	809	1	425	425	430
YOR176W	HEM15	393	2	128	124	128
