geneID,length,number_of_sites,order,site_start,site_end
YMR128W,87,17,14,3069,3156
YMR128W,18,17,15,3247,3265
YMR128W,68,17,16,3291,3359
YMR128W,36,17,17,3764,3800
YLL011W,400,12,1,275,675
YLL011W,39,12,2,674,713
YLL011W,47,12,3,747,794
YLL011W,98,12,4,827,925
YLL011W,24,12,5,963,987
YLL011W,19,12,6,989,1008
YLL011W,36,12,7,1008,1044
YLL011W,19,12,8,1087,1106
YLL011W,69,12,9,1111,1180
YLL011W,134,12,10,1176,1310
YLL011W,26,12,11,1312,1338
YLL011W,19,12,12,1420,1439
YCR077C,34,4,1,1204,1238
YCR077C,46,4,2,1239,1285
YCR077C,34,4,3,1686,1720
YCR077C,46,4,4,1874,1920
YJL029C,26,3,1,662,688
YJL029C,16,3,2,879,895
YJL029C,26,3,3,1654,1680
YGL130W,16,7,1,209,225
YGL130W,15,7,2,264,279
YGL130W,98,7,3,674,772
YGL130W,30,7,4,773,803
YGL130W,28,7,5,988,1016
YGL130W,24,7,6,1023,1047
YGL130W,17,7,7,1304,1321
YMR157C,15,1,1,602,617
YLR437C,15,1,1,204,219
YNL306W,33,9,1,182,215
YNL306W,53,9,2,216,269
YNL306W,16,9,3,270,286
YNL306W,17,9,4,287,304
YNL306W,61,9,5,310,371
YNL306W,49,9,6,372,421
YNL306W,18,9,7,425,443
YNL306W,25,9,8,474,499
YNL306W,24,9,9,500,524
YNL191W,30,3,1,240,270
YNL191W,72,3,2,339,411
YNL191W,21,3,3,557,578
YDR237W,16,6,1,232,248
YDR237W,41,6,2,255,296
YDR237W,20,6,3,374,394
YDR237W,46,6,4,643,689
YDR237W,22,6,5,691,713
YDR237W,35,6,6,792,827
YOR297C,61,4,1,218,279
YOR297C,22,4,2,317,339
YOR297C,41,4,3,352,393
YOR297C,27,4,4,545,572
YDR060W,26,11,1,769,795
YDR060W,49,11,2,993,1042
YDR060W,37,11,3,1054,1091
YDR060W,57,11,4,1288,1345
YDR060W,17,11,5,1593,1610
YDR060W,23,11,6,1625,1648
YDR060W,94,11,7,1937,2031
YDR060W,33,11,8,2174,2207
YDR060W,31,11,9,2595,2626
YDR060W,25,11,10,2683,2708
YDR060W,16,11,11,2811,2827
YBL072C,31,1,1,298,329
YMR080C,84,11,1,564,648
YMR080C,19,11,2,1500,1519
YMR080C,46,11,3,1526,1572
YMR080C,24,11,4,1586,1610
YMR080C,35,11,5,1686,1721
YMR080C,24,11,6,1776,1800
YMR080C,25,11,7,1803,1828
YMR080C,30,11,8,2014,2044
YMR080C,15,11,9,2077,2092
YMR080C,31,11,10,2459,2490
YMR080C,64,11,11,2652,2716
YPR144C,24,4,1,339,363
YPR144C,22,4,2,1321,1343
YPR144C,33,4,3,1350,1383
YPR144C,16,4,4,1581,1597
YKR013W,18,1,1,197,215
YBR001C,26,9,1,367,393
YBR001C,17,9,2,458,475
YBR001C,35,9,3,1060,1095
YBR001C,16,9,4,1267,1283
YBR001C,21,9,5,1353,1374
YBR001C,19,9,6,1689,1708
YBR001C,24,9,7,1914,1938
YBR001C,22,9,8,2085,2107
YBR001C,25,9,9,2165,2190
YNL246W,16,4,1,266,282
YNL246W,19,4,2,346,365
YNL246W,20,4,3,439,459
YNL246W,26,4,4,764,790
YGR145W,30,11,1,359,389
YGR145W,40,11,2,456,496
YGR145W,17,11,3,560,577
YGR145W,41,11,4,572,613
YGR145W,32,11,5,610,642
YGR145W,31,11,6,752,783
YGR145W,20,11,7,784,804
YGR145W,58,11,8,798,856
YGR145W,41,11,9,907,948
YGR145W,29,11,10,1478,1507
YGR145W,27,11,11,1663,1690
YHR196W,34,4,1,862,896
YHR196W,33,4,2,909,942
YHR196W,37,4,3,973,1010
YHR196W,38,4,4,1574,1612
YML092C,48,2,1,516,564
YML092C,41,2,2,570,611
YOR167C,17,1,1,182,199
YMR117C,15,2,1,542,557
YMR117C,35,2,2,607,642
YDL124W,17,2,1,284,301
YDL124W,26,2,2,890,916
YDR257C,15,7,1,243,258
YDR257C,118,7,2,270,388
YDR257C,30,7,3,480,510
YDR257C,22,7,4,536,558
YDR257C,31,7,5,650,681
YDR257C,15,7,6,1350,1365
YDR257C,29,7,7,1418,1447
YPR127W,40,1,1,937,977
YGR266W,38,11,1,304,342
YGR266W,20,11,2,736,756
YGR266W,18,11,3,762,780
YGR266W,73,11,4,924,997
YGR266W,24,11,5,1040,1064
YGR266W,41,11,6,1406,1447
YGR266W,55,11,7,1629,1684
YGR266W,26,11,8,1723,1749
YGR266W,39,11,9,1792,1831
YGR266W,21,11,10,1843,1864
YGR266W,34,11,11,1870,1904
YDL148C,23,6,1,787,810
YDL148C,104,6,2,959,1063
YDL148C,48,6,3,1549,1597
YDL148C,20,6,4,1602,1622
YDL148C,29,6,5,2217,2246
YDL148C,16,6,6,2310,2326
YAL012W,30,2,1,668,698
YAL012W,52,2,2,1017,1069
YHR163W,20,2,1,356,376
YHR163W,20,2,2,695,715
YMR288W,24,6,1,321,345
YMR288W,47,6,2,513,560
YMR288W,20,6,3,773,793
YMR288W,18,6,4,794,812
YMR288W,23,6,5,929,952
YMR288W,38,6,6,1015,1053
YPL196W,53,1,1,386,439
YHR100C,64,5,1,168,232
YHR100C,70,5,2,236,306
YHR100C,29,5,3,312,341
YHR100C,31,5,4,434,465
YHR100C,34,5,5,473,507
YKL059C,42,1,1,284,326
YGL092W,37,7,1,1101,1138
YGL092W,16,7,2,1535,1551
YGL092W,30,7,3,1674,1704
YGL092W,24,7,4,2741,2765
YGL092W,17,7,5,2766,2783
YGL092W,15,7,6,3157,3172
YGL092W,22,7,7,3670,3692
YKL006W,30,1,1,194,224
YGR136W,16,1,1,447,463
YNL097C,45,1,1,317,362
YPL135W,129,4,1,172,301
YPL135W,36,4,2,309,345
YPL135W,101,4,3,348,449
YPL135W,15,4,4,453,468
YOR153W,36,14,1,194,230
YOR153W,68,14,2,900,968
YOR153W,32,14,3,984,1016
YOR153W,19,14,4,1271,1290
YOR153W,44,14,5,1336,1380
YOR153W,77,14,6,1387,1464
YOR153W,28,14,7,1585,1613
YOR153W,72,14,8,1615,1687
YOR153W,20,14,9,1969,1989
YOR153W,34,14,10,2006,2040
YOR153W,27,14,11,2781,2808
YOR153W,27,14,12,3310,3337
YOR153W,21,14,13,3353,3374
YOR153W,27,14,14,3716,3743
YGL201C,28,5,1,1043,1071
YGL201C,39,5,2,1077,1116
YGL201C,20,5,3,1207,1227
YGL201C,48,5,4,1268,1316
YGL201C,19,5,5,2446,2465
YBR121C,43,13,1,203,246
YBR121C,112,13,2,348,460
YBR121C,43,13,3,489,532
YBR121C,36,13,4,534,570
YBR121C,26,13,5,606,632
YBR121C,44,13,6,806,850
YBR121C,20,13,7,952,972
YBR121C,31,13,8,984,1015
YBR121C,49,13,9,1016,1065
YBR121C,43,13,10,1191,1234
YBR121C,23,13,11,1328,1351
YBR121C,39,13,12,1613,1652
YBR121C,42,13,13,1962,2004
YLR229C,51,3,1,337,388
YLR229C,16,3,2,389,405
YLR229C,30,3,3,393,423
YNL079C,41,4,1,268,309
YNL079C,56,4,2,368,424
YNL079C,21,4,3,427,448
YNL079C,18,4,4,558,576
YMR062C,32,6,1,373,405
YMR062C,15,6,2,413,428
YMR062C,22,6,3,690,712
YMR062C,16,6,4,878,894
YMR062C,33,6,5,1051,1084
YMR062C,15,6,6,1218,1233
YLR292C,28,1,1,468,496
YHR170W,67,8,1,379,446
YHR170W,68,8,2,433,501
YHR170W,38,8,3,612,650
YHR170W,15,8,4,651,666
YHR170W,43,8,5,761,804
YHR170W,56,8,6,861,917
YHR170W,48,8,7,929,977
YHR170W,44,8,8,1501,1545
YGL135W,53,3,1,288,341
YGL135W,16,3,2,457,473
YGL135W,44,3,3,576,620
YJL125C,39,2,1,817,856
YJL125C,19,2,2,898,917
YLR312W-A,57,2,1,338,395
YLR312W-A,81,2,2,608,689
YBL090W,15,4,1,173,188
YBL090W,24,4,2,272,296
YBL090W,22,4,3,369,391
YBL090W,18,4,4,498,516
YGL120C,31,11,1,434,465
YGL120C,72,11,2,555,627
YGL120C,75,11,3,657,732
YGL120C,70,11,4,929,999
YGL120C,27,11,5,1135,1162
YGL120C,54,11,6,1399,1453
YGL120C,21,11,7,1475,1496
YGL120C,39,11,8,1771,1810
YGL120C,15,11,9,1826,1841
YGL120C,57,11,10,1969,2026
YGL120C,44,11,11,2254,2298
YKL068W,24,10,1,2027,2051
YKL068W,29,10,2,2038,2067
YKL068W,15,10,3,2101,2116
YKL068W,15,10,4,2117,2132
YKL068W,39,10,5,2197,2236
YKL068W,16,10,6,2308,2324
YKL068W,67,10,7,2315,2382
YKL068W,26,10,8,2598,2624
YKL068W,21,10,9,2691,2712
YKL068W,42,10,10,2760,2802
YDL166C,29,3,1,232,261
YDL166C,23,3,2,447,470
YDL166C,24,3,3,540,564
YKL142W,84,1,1,551,635
YPL049C,59,4,1,1072,1131
YPL049C,69,4,2,1134,1203
YPL049C,22,4,3,1253,1275
YPL049C,62,4,4,1297,1359
YNL064C,27,1,1,732,759
YLR045C,20,5,1,277,297
YLR045C,46,5,2,341,387
YLR045C,29,5,3,2518,2547
YLR045C,16,5,4,2604,2620
YLR045C,36,5,5,2626,2662
YER081W,41,3,1,348,389
YER081W,30,3,2,395,425
YER081W,44,3,3,893,937
YPL178W,29,1,1,590,619
YPR041W,55,7,1,266,321
YPR041W,69,7,2,323,392
YPR041W,67,7,3,418,485
YPR041W,28,7,4,497,525
YPR041W,29,7,5,819,848
YPR041W,27,7,6,928,955
YPR041W,85,7,7,1133,1218
YDR373W,22,1,1,391,413
YDR322W,72,5,1,233,305
YDR322W,18,5,2,328,346
YDR322W,29,5,3,667,696
YDR322W,53,5,4,722,775
YDR322W,18,5,5,776,794
YOL111C,30,3,1,215,245
YOL111C,32,3,2,482,514
YOL111C,30,3,3,567,597
YOR098C,43,7,1,586,629
YOR098C,24,7,2,671,695
YOR098C,39,7,3,1378,1417
YOR098C,16,7,4,1793,1809
YOR098C,21,7,5,2270,2291
YOR098C,33,7,6,2292,2325
YOR098C,51,7,7,3151,3202
YGL227W,60,5,1,497,557
YGL227W,24,5,2,1637,1661
YGL227W,17,5,3,2432,2449
YGL227W,18,5,4,2476,2494
YGL227W,32,5,5,2485,2517
YCR030C,22,1,1,241,263
YIL018W,63,3,1,327,390
YIL018W,73,3,2,560,633
YIL018W,57,3,3,678,735
YIL074C,33,8,1,281,314
YIL074C,64,8,2,338,402
YIL074C,30,8,3,391,421
YIL074C,44,8,4,509,553
YIL074C,26,8,5,554,580
YIL074C,40,8,6,716,756
YIL074C,45,8,7,807,852
YIL074C,63,8,8,877,940
YMR312W,56,1,1,635,691
YOL144W,49,8,1,314,363
YOL144W,54,8,2,644,698
YOL144W,23,8,3,700,723
YOL144W,46,8,4,759,805
YOL144W,31,8,5,794,825
YOL144W,16,8,6,967,983
YOL144W,26,8,7,1089,1115
YOL144W,33,8,8,1367,1400
YMR297W,54,1,1,377,431
YIL021W,34,4,1,404,438
YIL021W,20,4,2,602,622
YIL021W,48,4,3,848,896
YIL021W,24,4,4,933,957
YDL190C,62,4,1,726,788
YDL190C,45,4,2,1588,1633
YDL190C,30,4,3,2505,2535
YDL190C,28,4,4,2656,2684
YLR113W,30,2,1,560,590
YLR113W,15,2,2,1066,1081
YER142C,32,2,1,474,506
YER142C,31,2,2,858,889
YML119W,39,4,1,335,374
YML119W,28,4,2,620,648
YML119W,20,4,3,655,675
YML119W,16,4,4,838,854
YGR056W,23,8,1,903,926
YGR056W,32,8,2,966,998
YGR056W,47,8,3,1011,1058
YGR056W,44,8,4,1340,1384
YGR056W,15,8,5,1592,1607
YGR056W,15,8,6,2384,2399
YGR056W,21,8,7,2486,2507
YGR056W,37,8,8,2560,2597
YGR118W,79,1,1,340,419
YCR035C,33,11,1,261,294
YCR035C,27,11,2,295,322
YCR035C,20,11,3,449,469
YCR035C,23,11,4,565,588
YCR035C,25,11,5,686,711
YCR035C,28,11,6,725,753
YCR035C,41,11,7,741,782
YCR035C,34,11,8,838,872
YCR035C,27,11,9,882,909
YCR035C,16,11,10,915,931
YCR035C,21,11,11,960,981
YGL065C,29,5,1,1033,1062
YGL065C,20,5,2,1177,1197
YGL065C,19,5,3,1313,1332
YGL065C,41,5,4,1354,1395
YGL065C,43,5,5,1429,1472
YKR087C,34,3,1,248,282
YKR087C,19,3,2,410,429
YKR087C,30,3,3,976,1006
YOL120C,117,1,1,222,339
YHR099W,60,12,1,806,866
YHR099W,30,12,2,1364,1394
YHR099W,30,12,3,2627,2657
YHR099W,35,12,4,2713,2748
YHR099W,29,12,5,2736,2765
YHR099W,23,12,6,5504,5527
YHR099W,35,12,7,6530,6565
YHR099W,16,12,8,7366,7382
YHR099W,19,12,9,7895,7914
YHR099W,21,12,10,8462,8483
YHR099W,17,12,11,9674,9691
YHR099W,32,12,12,10904,10936
YLR243W,17,1,1,450,467
YLR196W,30,7,1,449,479
YLR196W,63,7,2,705,768
YLR196W,43,7,3,1057,1100
YLR196W,22,7,4,1102,1124
YLR196W,60,7,5,1461,1521
YLR196W,30,7,6,1515,1545
YLR196W,55,7,7,1669,1724
YIL036W,21,1,1,1048,1069
YOL051W,18,3,1,461,479
YOL051W,36,3,2,648,684
YOL051W,45,3,3,2850,2895
YDR476C,27,3,1,234,261
YDR476C,15,3,2,462,477
YDR476C,16,3,3,555,571
YBR252W,17,4,1,179,196
YBR252W,22,4,2,331,353
YBR252W,24,4,3,359,383
YBR252W,53,4,4,391,444
YGR116W,34,10,1,154,188
YGR116W,57,10,2,1898,1955
YGR116W,46,10,3,2097,2143
YGR116W,30,10,4,2281,2311
YGR116W,16,10,5,2461,2477
YGR116W,17,10,6,2478,2495
YGR116W,23,10,7,2696,2719
YGR116W,24,10,8,3952,3976
YGR116W,30,10,9,4012,4042
YGR116W,21,10,10,4154,4175
YIL110W,19,3,1,739,758
YIL110W,33,3,2,937,970
YIL110W,35,3,3,1075,1110
YPL183W-A,51,2,1,201,252
YPL183W-A,22,2,2,253,275
YIL069C,180,2,1,140,320
YIL069C,26,2,2,332,358
YBR169C,41,9,1,254,295
YBR169C,58,9,2,396,454
YBR169C,70,9,3,556,626
YBR169C,15,9,4,906,921
YBR169C,51,9,5,1294,1345
YBR169C,49,9,6,1418,1467
YBR169C,68,9,7,1554,1622
YBR169C,42,9,8,1623,1665
YBR169C,17,9,9,2062,2079
YNL135C,30,1,1,224,254
YJR101W,27,3,1,167,194
YJR101W,24,3,2,203,227
YJR101W,41,3,3,496,537
YGL147C,45,2,1,203,248
YGL147C,27,2,2,249,276
YBR263W,18,8,1,259,277
YBR263W,63,8,2,283,346
YBR263W,72,8,3,421,493
YBR263W,28,8,4,711,739
YBR263W,20,8,5,745,765
YBR263W,47,8,6,980,1027
YBR263W,27,8,7,1108,1135
YBR263W,23,8,8,1427,1450
YBL001C,52,1,1,241,293
YBR185C,27,2,1,428,455
YBR185C,18,2,2,462,480
YDR019C,47,6,1,254,301
YDR019C,66,6,2,363,429
YDR019C,46,6,3,746,792
YDR019C,17,6,4,825,842
YDR019C,17,6,5,1074,1091
YDR019C,29,6,6,1118,1147
YNL207W,24,4,1,321,345
YNL207W,41,4,2,624,665
YNL207W,49,4,3,955,1004
YNL207W,25,4,4,1158,1183
YOR232W,20,3,1,184,204
YOR232W,29,3,2,213,242
YOR232W,22,3,3,614,636
YJL085W,56,1,1,587,643
YEL055C,17,7,1,419,436
YEL055C,32,7,2,785,817
YEL055C,58,7,3,1760,1818
YEL055C,42,7,4,1961,2003
YEL055C,15,7,5,2239,2254
YEL055C,39,7,6,2401,2440
YEL055C,52,7,7,3017,3069
YGR058W,42,1,1,791,833
YBR053C,49,5,1,159,208
YBR053C,40,5,2,239,279
YBR053C,30,5,3,654,684
YBR053C,34,5,4,771,805
YBR053C,49,5,5,968,1017
YLL058W,16,6,1,310,326
YLL058W,18,6,2,347,365
YLL058W,36,6,3,365,401
YLL058W,25,6,4,443,468
YLL058W,30,6,5,1045,1075
YLL058W,48,6,6,1679,1727
YDR428C,61,6,1,210,271
YDR428C,16,6,2,311,327
YDR428C,37,6,3,354,391
YDR428C,17,6,4,408,425
YDR428C,21,6,5,431,452
YDR428C,105,6,6,678,783
YLR029C,48,4,1,204,252
YLR029C,81,4,2,273,354
YLR029C,21,4,3,360,381
YLR029C,25,4,4,470,495
YNL163C,47,17,1,352,399
YNL163C,39,17,2,567,606
YNL163C,22,17,3,871,893
YNL163C,21,17,4,1141,1162
YNL163C,58,17,5,1347,1405
YNL163C,15,17,6,1548,1563
YNL163C,29,17,7,1638,1667
YNL163C,24,17,8,1875,1899
YNL163C,18,17,9,1992,2010
YNL163C,31,17,10,2218,2249
YNL163C,23,17,11,2307,2330
YNL163C,24,17,12,2485,2509
YNL163C,29,17,13,2512,2541
YNL163C,22,17,14,2557,2579
YNL163C,38,17,15,2703,2741
YNL163C,18,17,16,3090,3108
YNL163C,35,17,17,3099,3134
YGL246C,27,5,1,359,386
YGL246C,18,5,2,507,525
YGL246C,41,5,3,562,603
YGL246C,17,5,4,870,887
YGL246C,16,5,5,956,972
YCR054C,64,2,1,778,842
YCR054C,15,2,2,1235,1250
YDR045C,36,2,1,201,237
YDR045C,32,2,2,237,269
YKR083C,25,1,1,377,402
YMR209C,23,1,1,1023,1046
YGR252W,38,3,1,723,761
YGR252W,17,3,2,1024,1041
YGR252W,26,3,3,1032,1058
YDL003W,16,4,1,191,207
YDL003W,22,4,2,326,348
YDL003W,16,4,3,530,546
YDL003W,22,4,4,756,778
YDL235C,22,1,1,395,417
YJR123W,177,3,1,241,418
YJR123W,43,3,2,452,495
YJR123W,40,3,3,619,659
YDL078C,30,1,1,534,564
YGR003W,22,2,1,547,569
YGR003W,26,2,2,2063,2089
YDR517W,15,3,1,198,213
YDR517W,19,3,2,508,527
YDR517W,83,3,3,843,926
YDR110W,18,2,1,557,575
YDR110W,27,2,2,874,901
YOL088C,22,2,1,452,474
YOL088C,18,2,2,659,677
YOR361C,23,9,1,469,492
YOR361C,44,9,2,899,943
YOR361C,29,9,3,932,961
YOR361C,68,9,4,964,1032
YOR361C,39,9,5,1170,1209
YOR361C,30,9,6,1252,1282
YOR361C,44,9,7,1435,1479
YOR361C,81,9,8,1640,1721
YOR361C,20,9,9,2022,2042
YOR221C,20,3,1,588,608
YOR221C,30,3,2,814,844
YOR221C,17,3,3,878,895
YKR095W,18,7,1,317,335
YKR095W,33,7,2,2365,2398
YKR095W,42,7,3,2660,2702
YKR095W,25,7,4,2802,2827
YKR095W,31,7,5,2927,2958
YKR095W,33,7,6,3590,3623
YKR095W,24,7,7,4834,4858
YOL064C,53,2,1,587,640
YOL064C,15,2,2,976,991
YBL023C,33,6,1,1298,1331
YBL023C,30,6,2,1502,1532
YBL023C,35,6,3,2031,2066
YBL023C,25,6,4,2163,2188
YBL023C,30,6,5,2507,2537
YBL023C,27,6,6,2544,2571
YGL078C,17,3,1,461,478
YGL078C,44,3,2,574,618
YGL078C,77,3,3,773,850
YDR435C,35,1,1,279,314
YER151C,61,14,1,743,804
YER151C,22,14,2,1208,1230
YER151C,32,14,3,1491,1523
YER151C,36,14,4,1512,1548
YER151C,38,14,5,1556,1594
YER151C,17,14,6,1645,1662
YER151C,31,14,7,1663,1694
YER151C,47,14,8,1843,1890
YER151C,23,14,9,1907,1930
YER151C,22,14,10,2239,2261
YER151C,18,14,11,2281,2299
YER151C,26,14,12,2494,2520
YER151C,33,14,13,2571,2604
YER151C,45,14,14,2667,2712
YLR005W,26,2,1,952,978
YLR005W,30,2,2,1252,1282
YJL076W,25,14,1,539,564
YJL076W,55,14,2,568,623
YJL076W,23,14,3,728,751
YJL076W,31,14,4,756,787
YJL076W,38,14,5,1070,1108
YJL076W,18,14,6,1190,1208
YJL076W,20,14,7,1222,1242
YJL076W,37,14,8,1728,1765
YJL076W,32,14,9,1782,1814
YJL076W,60,14,10,2078,2138
YJL076W,29,14,11,2413,2442
YJL076W,33,14,12,2465,2498
YJL076W,39,14,13,3023,3062
YJL076W,18,14,14,3328,3346
YOR253W,24,1,1,214,238
YNL267W,22,7,1,323,345
YNL267W,19,7,2,500,519
YNL267W,25,7,3,566,591
YNL267W,18,7,4,2302,2320
YNL267W,17,7,5,2322,2339
YNL267W,24,7,6,2601,2625
YNL267W,30,7,7,3169,3199
YGR198W,38,4,1,224,262
YGR198W,47,4,2,303,350
YGR198W,28,4,3,1402,1430
YGR198W,18,4,4,1724,1742
YKL189W,29,1,1,649,678
YAR007C,27,5,1,750,777
YAR007C,23,5,2,798,821
YAR007C,32,5,3,836,868
YAR007C,25,5,4,947,972
YAR007C,15,5,5,1736,1751
YGR010W,54,8,1,224,278
YGR010W,18,8,2,284,302
YGR010W,54,8,3,306,360
YGR010W,18,8,4,457,475
YGR010W,37,8,5,503,540
YGR010W,20,8,6,761,781
YGR010W,17,8,7,1145,1162
YGR010W,21,8,8,1166,1187
YML064C,34,1,1,466,500
YER055C,47,6,1,183,230
YER055C,58,6,2,417,475
YER055C,91,6,3,482,573
YER055C,42,6,4,759,801
YER055C,17,6,5,817,834
YER055C,17,6,6,865,882
YNL307C,74,8,1,236,310
YNL307C,20,8,2,322,342
YNL307C,34,8,3,348,382
YNL307C,109,8,4,536,645
YNL307C,50,8,5,753,803
YNL307C,22,8,6,857,879
YNL307C,47,8,7,969,1016
YNL307C,17,8,8,1099,1116
YCR016W,30,2,1,704,734
YCR016W,43,2,2,750,793
YCL052C,29,3,1,539,568
YCL052C,16,3,2,1035,1051
YCL052C,16,3,3,1052,1068
YDR067C,29,3,1,349,378
YDR067C,34,3,2,411,445
YDR067C,32,3,3,433,465
YHR167W,44,2,1,327,371
YHR167W,42,2,2,537,579
YJL044C,27,2,1,713,740
YJL044C,18,2,2,904,922
YDR234W,16,16,1,250,266
YDR234W,23,16,2,290,313
YDR234W,31,16,3,319,350
YDR234W,35,16,4,359,394
YDR234W,29,16,5,395,424
YDR234W,22,16,6,440,462
YDR234W,21,16,7,479,500
YDR234W,23,16,8,644,667
YDR234W,15,16,9,668,683
YDR234W,18,16,10,970,988
YDR234W,30,16,11,1014,1044
YDR234W,28,16,12,1046,1074
YDR234W,22,16,13,1383,1405
YDR234W,19,16,14,1459,1478
YDR234W,24,16,15,1769,1793
YDR234W,26,16,16,2032,2058
YGR218W,19,12,1,602,621
YGR218W,56,12,2,857,913
YGR218W,81,12,3,1398,1479
YGR218W,24,12,4,1508,1532
YGR218W,44,12,5,1758,1802
YGR218W,23,12,6,1803,1826
YGR218W,15,12,7,1858,1873
YGR218W,39,12,8,1941,1980
YGR218W,22,12,9,2087,2109
YGR218W,23,12,10,2310,2333
YGR218W,39,12,11,2681,2720
YGR218W,23,12,12,3195,3218
YEL060C,23,3,1,1273,1296
YEL060C,49,3,2,1302,1351
YEL060C,20,3,3,1626,1646
YPR179C,25,3,1,656,681
YPR179C,88,3,2,950,1038
YPR179C,25,3,3,1683,1708
YGR267C,39,4,1,392,431
YGR267C,16,4,2,503,519
YGR267C,46,4,3,530,576
YGR267C,62,4,4,608,670
YDL225W,51,3,1,360,411
YDL225W,17,3,2,412,429
YDL225W,26,3,3,842,868
YML026C,23,1,1,278,301
YPL002C,36,2,1,398,434
YPL002C,31,2,2,425,456
YML079W,17,1,1,557,574
YLR180W,28,5,1,649,677
YLR180W,186,5,2,729,915
YLR180W,22,5,3,916,938
YLR180W,98,5,4,964,1062
YLR180W,24,5,5,1123,1147
YMR049C,59,5,1,824,883
YMR049C,99,5,2,1393,1492
YMR049C,33,5,3,1481,1514
YMR049C,15,5,4,1571,1586
YMR049C,18,5,5,2367,2385
YPR124W,30,1,1,542,572
YLL029W,43,8,1,607,650
YLL029W,36,8,2,671,707
YLL029W,25,8,3,758,783
YLL029W,72,8,4,890,962
YLL029W,15,8,5,1156,1171
YLL029W,38,8,6,1162,1200
YLL029W,18,8,7,1231,1249
YLL029W,34,8,8,1272,1306
YOR344C,34,1,1,184,218
YGR285C,117,2,1,423,540
YGR285C,46,2,2,527,573
YNL232W,79,1,1,764,843
YMR241W,80,2,1,478,558
YMR241W,43,2,2,715,758
YCL063W,25,2,1,340,365
YCL063W,27,2,2,668,695
YLR440C,44,3,1,891,935
YLR440C,28,3,2,1754,1782
YLR440C,42,3,3,1775,1817
YML048W,15,2,1,273,288
YML048W,24,2,2,298,322
YNL112W,32,9,1,731,763
YNL112W,19,9,2,764,783
YNL112W,29,9,3,790,819
YNL112W,16,9,4,865,881
YNL112W,19,9,5,889,908
YNL112W,27,9,6,918,945
YNL112W,45,9,7,989,1034
YNL112W,30,9,8,1046,1076
YNL112W,24,9,9,1408,1432
YLR027C,27,6,1,231,258
YLR027C,31,6,2,476,507
YLR027C,21,6,3,530,551
YLR027C,58,6,4,821,879
YLR027C,74,6,5,935,1009
YLR027C,70,6,6,1130,1200
YBR031W,232,2,1,344,576
YBR031W,61,2,2,1025,1086
YDL132W,66,8,1,449,515
YDL132W,32,8,2,871,903
YDL132W,15,8,3,1765,1780
YDL132W,39,8,4,2000,2039
YDL132W,57,8,5,2212,2269
YDL132W,17,8,6,2285,2302
YDL132W,25,8,7,2391,2416
YDL132W,25,8,8,2423,2448
YBL064C,33,5,1,171,204
YBL064C,21,5,2,244,265
YBL064C,45,5,3,271,316
YBL064C,30,5,4,660,690
YBL064C,21,5,5,693,714
YGR245C,22,4,1,541,563
YGR245C,31,4,2,1388,1419
YGR245C,32,4,3,1488,1520
YGR245C,25,4,4,2197,2222
YPL243W,35,6,1,737,772
YPL243W,32,6,2,802,834
YPL243W,24,6,3,836,860
YPL243W,75,6,4,1387,1462
YPL243W,24,6,5,1551,1575
YPL243W,93,6,6,1687,1780
YGR229C,24,5,1,165,189
YGR229C,23,5,2,506,529
YGR229C,17,5,3,807,824
YGR229C,32,5,4,825,857
YGR229C,62,5,5,1115,1177
YLR167W,19,1,1,427,446
YLR293C,75,2,1,412,487
YLR293C,94,2,2,519,613
YDL147W,43,3,1,895,938
YDL147W,54,3,2,1016,1070
YDL147W,44,3,3,1071,1115
YFL029C,34,3,1,191,225
YFL029C,24,3,2,307,331
YFL029C,40,3,3,764,804
YBL091C,74,3,1,923,997
YBL091C,36,3,2,1004,1040
YBL091C,62,3,3,1131,1193
YOR262W,29,2,1,466,495
YOR262W,24,2,2,674,698
YMR014W,29,4,1,275,304
YMR014W,24,4,2,410,434
YMR014W,42,4,3,452,494
YMR014W,34,4,4,567,601
YDL167C,38,6,1,375,413
YDL167C,50,6,2,415,465
YDL167C,18,6,3,752,770
YDL167C,16,6,4,812,828
YDL167C,18,6,5,897,915
YDL167C,18,6,6,996,1014
YER082C,30,2,1,882,912
YER082C,37,2,2,1148,1185
YIL137C,15,11,1,174,189
YIL137C,40,11,2,581,621
YIL137C,35,11,3,620,655
YIL137C,48,11,4,741,789
YIL137C,33,11,5,1036,1069
YIL137C,53,11,6,1302,1355
YIL137C,35,11,7,1551,1586
YIL137C,16,11,8,1659,1675
YIL137C,38,11,9,2273,2311
YIL137C,29,11,10,2452,2481
YIL137C,27,11,11,2597,2624
YNL123W,55,18,1,619,674
YNL123W,65,18,2,1003,1068
YNL123W,20,18,3,1071,1091
YNL123W,19,18,4,1114,1133
YNL123W,21,18,5,1272,1293
YNL123W,44,18,6,1530,1574
YNL123W,42,18,7,1630,1672
YNL123W,24,18,8,1784,1808
YNL123W,36,18,9,1881,1917
YNL123W,17,18,10,1920,1937
YNL123W,60,18,11,1938,1998
YNL123W,51,18,12,2023,2074
YNL123W,40,18,13,2183,2223
YNL123W,16,18,14,2262,2278
YNL123W,32,18,15,2466,2498
YNL123W,74,18,16,2814,2888
YNL123W,23,18,17,2954,2977
YNL123W,15,18,18,2979,2994
YMR003W,18,1,1,265,283
YKL145W,92,9,1,268,360
